# KE: 100.00 MeV, L:  0 
# start: 0.00001 fm, dr:0.050, end:   20.00001 fm, nStep: 400 
#           r          Pot            u        du/dr            R        dR/dr
    1.350E+01   -7.225E-06    9.406E-02    8.796E-01    6.993E-03    6.488E-02
    1.355E+01   -6.647E-06    1.374E-01    8.517E-01    1.018E-02    6.234E-02
    1.360E+01   -6.116E-06    1.791E-01    8.136E-01    1.321E-02    5.907E-02
    1.365E+01   -5.627E-06    2.186E-01    7.656E-01    1.607E-02    5.511E-02
    1.370E+01   -5.177E-06    2.555E-01    7.085E-01    1.872E-02    5.053E-02
    1.375E+01   -4.763E-06    2.893E-01    6.428E-01    2.112E-02    4.538E-02
    1.380E+01   -4.382E-06    3.196E-01    5.694E-01    2.325E-02    3.972E-02
    1.385E+01   -4.032E-06    3.461E-01    4.891E-01    2.508E-02    3.363E-02
    1.390E+01   -3.709E-06    3.684E-01    4.030E-01    2.660E-02    2.718E-02
    1.395E+01   -3.413E-06    3.863E-01    3.120E-01    2.779E-02    2.045E-02
    1.400E+01   -3.140E-06    3.996E-01    2.172E-01    2.864E-02    1.352E-02
    1.405E+01   -2.889E-06    4.080E-01    1.199E-01    2.914E-02    6.481E-03
    1.410E+01   -2.658E-06    4.115E-01    2.107E-02    2.929E-02   -5.848E-04
    1.415E+01   -2.445E-06    4.101E-01   -7.798E-02    2.909E-02   -7.594E-03
    1.420E+01   -2.250E-06    4.038E-01   -1.761E-01    2.853E-02   -1.446E-02
    1.425E+01   -2.070E-06    3.925E-01   -2.721E-01    2.764E-02   -2.111E-02
    1.430E+01   -1.904E-06    3.766E-01   -3.648E-01    2.643E-02   -2.746E-02
    1.435E+01   -1.752E-06    3.561E-01   -4.532E-01    2.490E-02   -3.343E-02
    1.440E+01   -1.612E-06    3.314E-01   -5.361E-01    2.309E-02   -3.896E-02
    1.445E+01   -1.483E-06    3.026E-01   -6.125E-01    2.102E-02   -4.399E-02
    1.450E+01   -1.365E-06    2.702E-01   -6.816E-01    1.870E-02   -4.846E-02
    1.455E+01   -1.255E-06    2.346E-01   -7.424E-01    1.618E-02   -5.232E-02
    1.460E+01   -1.155E-06    1.962E-01   -7.944E-01    1.348E-02   -5.552E-02
    1.465E+01   -1.063E-06    1.553E-01   -8.367E-01    1.064E-02   -5.804E-02
    1.470E+01   -9.778E-07    1.126E-01   -8.690E-01    7.689E-03   -5.984E-02
    1.475E+01   -8.996E-07    6.860E-02   -8.909E-01    4.667E-03   -6.092E-02
